name,align,eye,hair,sex,year
Marius St. Croix,Bad Characters,Grey Eyes,Grey Hair,Male Characters,1994
Angelina Brancale,Bad Characters,Blue Eyes,Blond Hair,Female Characters,1995
Delilah,Bad Characters,Blue Eyes,Black Hair,Female Characters,1996
Jared Corbo,Good Characters,Brown Eyes,Brown Hair,Male Characters,1997
Maggott,Good Characters,Brown Eyes,White Hair,Male Characters,1997
Vincent Gonzales,Bad Characters,Brown Eyes,Black Hair,Male Characters,2007
Maru00eda Aracely Penalba,Good Characters,Brown Eyes,Black Hair,Female Characters,2012
Isabel Kane,Good Characters,Blue Eyes,Brown Hair,Female Characters,2013
Myraddin of Ruta,Good Characters,Hazel Eyes,White Hair,Male Characters,1944
Adolf Hitler,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1963
Miklho,Bad Characters,Black Eyes,Orange Hair,Male Characters,1963
Ymir,Bad Characters,White Eyes,No Hair,Male Characters,1963
Jacob Fury,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,1967
Brule,Good Characters,Brown Eyes,Brown Hair,Male Characters,1971
Saint,Good Characters,Blue Eyes,Brown Hair,Male Characters,1973
Chthon,Bad Characters,Red Eyes,No Hair,Male Characters,1975
Edward Lansky,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,1976
Nightside,Neutral Characters,White Eyes,Black Hair,Female Characters,1977
Sprite,Good Characters,Blue Eyes,Red Hair,Male Characters,1977
Helen Feliciano,Bad Characters,Brown Eyes,Blond Hair,Female Characters,1979
Andrea von Strucker,Bad Characters,Blue Eyes,Blond Hair,Female Characters,1985
Burchell Clemens,Bad Characters,Brown Eyes,Black Hair,Male Characters,1985
Janos Quested,Bad Characters,Purple Eyes,Purple Hair,Male Characters,1986
Shinobi Shaw,Bad Characters,Brown Eyes,Black Hair,Male Characters,1991
Eadmund Porlock,Bad Characters,Hazel Eyes,Brown Hair,Male Characters,1992
Harley Davis,Good Characters,Violet Eyes,Silver Hair,Female Characters,1992
Sondra Brandenberg,Good Characters,Brown Eyes,Brown Hair,Female Characters,2002
Stacey Yorkes,Bad Characters,Green Eyes,Brown Hair,Female Characters,2003
Andrew Forson,Bad Characters,Blue Eyes,Blond Hair,Male Characters,2011
Bella Fishbach,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,2011
Onome,Good Characters,Brown Eyes,Black Hair,Female Characters,2012
Daniel Lyons,Good Characters,Green Eyes,Grey Hair,Male Characters,1941
Joshua Ayers,Bad Characters,Blue Eyes,Black Hair,Male Characters,1962
Maxwell Shiffman,Good Characters,Brown Eyes,Bald,Male Characters,1962
Morgan Stark,Bad Characters,Hazel Eyes,Brown Hair,Male Characters,1965
Ultimo,Bad Characters,Yellow Eyes,No Hair,Male Characters,1966
Linda Carter,Good Characters,Brown Eyes,Blond Hair,Female Characters,1969
Wendell Rand,Good Characters,Blue Eyes,Blond Hair,Male Characters,1974
Aron,Neutral Characters,White Eyes,Bald,Male Characters,1975
Margo Damian,Neutral Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,1976
Mastermind,Bad Characters,Gold Eyes,No Hair,Male Characters,1976
Samuel Barone,Bad Characters,Brown Eyes,Black Hair,Male Characters,1976
Morris Sloan,Good Characters,Blue Eyes,White Hair,Male Characters,1979
Harry Leland,Bad Characters,Green Eyes,Red Hair,Male Characters,1980
Hussar,Neutral Characters,Yellow Eyes,Blond Hair,Female Characters,1980
Morgana Blessing,Good Characters,Black Eyes,Brown Hair,Female Characters,1981
Anthony Power,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1982
Raymond Sikorski,Good Characters,Brown Eyes,Brown Hair,Male Characters,1983
Vixen,Bad Characters,Magenta Eyes,Magenta Hair,Female Characters,1983
Marsha Rosenberg,Good Characters,Blue Eyes,Black Hair,Female Characters,1984
Karl Morgenthau,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1985
Michael Baer,Bad Characters,Brown Eyes,Bald,Male Characters,1986
Kristine Watson,Good Characters,Green Eyes,Red Hair,Female Characters,1988
Vali Halfling,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1991
Siena Blaze,Bad Characters,Brown Eyes,Blond Hair,Female Characters,1993
Angela Yin,Good Characters,Brown Eyes,Black Hair,Female Characters,1994
Vincente Fortunato,Bad Characters,Blue Eyes,Bald,Male Characters,1996
Derek Khanata,Good Characters,Brown Eyes,Black Hair,Male Characters,2005
Klara Prast,Good Characters,Blue Eyes,Black Hair,Female Characters,2007
Terrance Ward,Good Characters,Brown Eyes,Black Hair,Male Characters,2007
Dexter Bennett,Neutral Characters,Grey Eyes,White Hair,Male Characters,2008
Orb,Bad Characters,Blue Eyes,No Hair,Male Characters,2008
James Jankovicz,Good Characters,Blue Eyes,Bald,Male Characters,1942
Harvey Schlemerman,Bad Characters,Blue Eyes,Bald,Male Characters,1960
Gordon Keefer,Bad Characters,Brown Eyes,Grey Hair,Male Characters,1965
Frank Farnum,Bad Characters,Brown Eyes,Black Hair,Male Characters,1966
Basil Elks,Bad Characters,Red Eyes,No Hair,Male Characters,1973
Shen Kuei,Good Characters,Blue Eyes,Black Hair,Male Characters,1976
Tath Ki,Good Characters,Blue Eyes,Bald,Male Characters,1976
Toothgnasher,Good Characters,Brown Eyes,White Hair,Male Characters,1976
Marcus Daniels,Bad Characters,Grey Eyes,Brown Hair,Male Characters,1978
Roger Norvell,Good Characters,Blue Eyes,Red Hair,Male Characters,1978
Maelstrom,Bad Characters,Purple Eyes,Purple Hair,Male Characters,1981
Ulysses Archer,Good Characters,Blue Eyes,Blond Hair,Male Characters,1983
Thomas Corsi,Good Characters,Brown Eyes,Black Hair,Male Characters,1984
Prism,Bad Characters,White Eyes,No Hair,Male Characters,1986
Samuel John LaRoquette,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1986
Marcy Pearson,Neutral Characters,Brown Eyes,Brown Hair,Female Characters,1987
Felix Alvarez,Good Characters,Brown Eyes,Brown Hair,Male Characters,1989
Malcolm McBride,Bad Characters,Yellow Eyes,No Hair,Male Characters,1989
Heather Tucker,Neutral Characters,Brown Eyes,Black Hair,Female Characters,1990
Gudrun Tyburn,Bad Characters,Brown Eyes,White Hair,Female Characters,1992
Roderick Campbell,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,1993
Devlor,Good Characters,Green Eyes,Brown Hair,Male Characters,1994
Samuel Paru00e9,Good Characters,Black Eyes,No Hair,Male Characters,2002
Dale Yorkes,Bad Characters,Green Eyes,Grey Hair,Male Characters,2003
Deborah Fields,Good Characters,Brown Eyes,Brown Hair,Female Characters,2005
Sydren,Good Characters,Brown Eyes,No Hair,Male Characters,2005
Bob,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,2007
Fat Cobra,Good Characters,Brown Eyes,Black Hair,Male Characters,2007
Timothy Dugan,Bad Characters,Green Eyes,No Hair,Male Characters,2008
Ai Apaec,Bad Characters,White Eyes,Grey Hair,Male Characters,2011
Kirsten McDuffie,Good Characters,Brown Eyes,Brown Hair,Female Characters,2011
Emily Preston,Good Characters,Brown Eyes,Bald,Agender Characters,2013
Iara Dos Santos,Good Characters,Black Eyes,Brown Hair,Female Characters,2013
Kevin Connor,Good Characters,Blue Eyes,Blond Hair,Male Characters,2013
Jack Frost,Good Characters,White Eyes,Blue Hair,Male Characters,1941
Townshend Horgan,Bad Characters,Green Eyes,Red Hair,Male Characters,1965
Hippolyta,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,1966
Prester John,Neutral Characters,Blue Eyes,Red Hair,Male Characters,1966
Gaza,Bad Characters,White Eyes,Black Hair,Male Characters,1969
Servo-Guards,Bad Characters,Red Eyes,No Hair,Male Characters,1969
Anton Miguel Rodriquez,Bad Characters,Brown Eyes,Black Hair,Male Characters,1974
Kevin MacTaggert,Bad Characters,White Eyes,No Hair,Male Characters,1979
Marian Pouncy,Bad Characters,Blue Eyes,Brown Hair,Female Characters,1979
Sharon Friedlander,Good Characters,Brown Eyes,Black Hair,Female Characters,1984
Rae LaCoste,Good Characters,Blue Eyes,Blond Hair,Female Characters,1987
Carrie Alexander,Good Characters,Brown Eyes,Brown Hair,Female Characters,1990
Martin Soap,Good Characters,Brown Eyes,Blond Hair,Male Characters,2000
Edith Sawyer,Good Characters,Green Eyes,Red Hair,Female Characters,2001
Esme Cuckoo,Bad Characters,Blue Eyes,Blond Hair,Female Characters,2001
Ezekiel Sims,Neutral Characters,Blue Eyes,Grey Hair,Male Characters,2001
Catherine Wilder,Bad Characters,Brown Eyes,Black Hair,Female Characters,2003
Michael van Patrick,Good Characters,Blue Eyes,Brown Hair,Male Characters,2007
Faiza Hussain,Good Characters,Brown Eyes,Black Hair,Female Characters,2008
Leah,Neutral Characters,Green Eyes,Black Hair,Female Characters,2011
Dionysus Acratophorus,Good Characters,Blue Eyes,Brown Hair,Male Characters,1949
Xemnu,Bad Characters,Red Eyes,White Hair,Male Characters,1960
Gary Gilbert,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1970
Arnold Paffenroth,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1973
Carl Walker,Good Characters,Brown Eyes,Brown Hair,Male Characters,1974
Heather Duncan,Good Characters,Blue Eyes,Blond Hair,Female Characters,1974
Isaiah Curwen,Bad Characters,Blue Eyes,White Hair,Male Characters,1974
James Scully,Good Characters,Brown Eyes,Red Hair,Male Characters,1975
Moses Magnum,Bad Characters,Brown Eyes,Black Hair,Male Characters,1975
Janus Tepes,Good Characters,Red Eyes,Black Hair,Male Characters,1976
Toothgrinder,Good Characters,Brown Eyes,White Hair,Male Characters,1976
Lester Verde,Bad Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,1977
Matthew Gilden,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1977
Gary Cody,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1978
SJ3RX,Neutral Characters,Silver Eyes,No Hair,Male Characters,1978
Curtiss Jackson,Bad Characters,Brown Eyes,Black Hair,Male Characters,1979
Earthquake,Neutral Characters,Black Eyes,No Hair,Male Characters,1980
Leong Coy Manh,Good Characters,Black Eyes,Black Hair,Male Characters,1980
Sunset Bain,Bad Characters,Brown Eyes,Brown Hair,Female Characters,1980
Vic Martinelli,Good Characters,Brown Eyes,Black Hair,Male Characters,1980
Eugene Patilio,Good Characters,Brown Eyes,Red Hair,Male Characters,1982
Victor Palermo,Good Characters,Brown Eyes,Bald,Male Characters,1982
Revanche,Good Characters,Blue Eyes,Black Hair,Female Characters,1989
Adrian Corbo,Good Characters,Brown Eyes,Black Hair,Male Characters,1997
John Watkins III,Good Characters,Blue Eyes,Blond Hair,Male Characters,2000
John King,Bad Characters,Blue Eyes,Bald,Male Characters,2002
Brian Cruz,Good Characters,Brown Eyes,Brown Hair,Male Characters,2004
Amatsu-Mikaboshi,Bad Characters,Gold Eyes,Black Hair,Male Characters,2006
Maria Vasquez,Good Characters,Brown Eyes,Black Hair,Female Characters,2006
Sinclair Abbott,Bad Characters,Blue Eyes,Blond Hair,Male Characters,2006
Jeff Brown,Neutral Characters,Brown Eyes,Black Hair,Male Characters,2007
Michele Gonzales,Good Characters,Brown Eyes,Black Hair,Female Characters,2009
Darla Deering,Good Characters,Brown Eyes,Pink Hair,Female Characters,2012
Jia Jing,Good Characters,Brown Eyes,Black Hair,Female Characters,2012
Trevor Hawkins,Good Characters,Blue Eyes,Blond Hair,Male Characters,2012
Anna Maria Marconi,Good Characters,Brown Eyes,Black Hair,Female Characters,2013
Claire Voyant,Neutral Characters,Black Eyes,Blond Hair,Female Characters,1940
Heinz Kruger,Bad Characters,Blue Eyes,Black Hair,Male Characters,1941
Suwan,Bad Characters,Brown Eyes,Black Hair,Female Characters,1956
Jerold Morgan,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1958
Laura Brown,Good Characters,Blue Eyes,Blond Hair,Female Characters,1965
Kaluu,Bad Characters,Yellow Eyes,Black Hair,Male Characters,1966
Hyperion,Bad Characters,Blue Eyes,Red Hair,Male Characters,1969
Taj Nital,Good Characters,Red Eyes,Black Hair,Male Characters,1972
Robert Frank Jr.,Good Characters,Blue Eyes,Bald,Male Characters,1974
Joseph Manfredi,Bad Characters,Blue Eyes,Black Hair,Male Characters,1975
Fritz von Meyer,Bad Characters,Yellow Eyes,No Hair,Male Characters,1977
Peter Quinn,Bad Characters,White Eyes,Bald,Male Characters,1977
Elysius,Good Characters,Blue Eyes,Black Hair,Female Characters,1978
Han Chang Lin Sun and Ho Tao-Yu,Bad Characters,Brown Eyes,Black Hair,Male Characters,1980
Nga Coy Manh,Good Characters,Black Eyes,Black Hair,Female Characters,1980
Harry Osgood,Good Characters,Blue Eyes,Grey Hair,Male Characters,1981
Rose Palermo,Good Characters,Brown Eyes,Brown Hair,Female Characters,1982
Katherine Waynesboro,Good Characters,Brown Eyes,Black Hair,Female Characters,1983
Black Fox,Bad Characters,Brown Eyes,White Hair,Male Characters,1984
Sheoke Sanada,Bad Characters,Brown Eyes,Black Hair,Female Characters,1984
Bloodscream,Bad Characters,Black Eyes,White Hair,Male Characters,1989
Andrea Sterman,Good Characters,Black Eyes,Blond Hair,Female Characters,1990
Achilles,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1991
Jeremy Stevens,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1991
Stacy Arnheim,Good Characters,Brown Eyes,Black Hair,Female Characters,1992
Garabed Bashur,Bad Characters,Brown Eyes,Black Hair,Male Characters,1993
Desiree Winthrop,Good Characters,Blue Eyes,Blond Hair,Female Characters,1996
Arlette Truffaut,Good Characters,Green Eyes,Black Hair,Female Characters,1997
Vincent Stewart,Good Characters,Blue Eyes,Blond Hair,Male Characters,2002
Adriana Soria,Bad Characters,Brown Eyes,Black Hair,Female Characters,2004
Toxin,Neutral Characters,Variable Eyes,No Hair,Agender Characters,2004
Maya Hansen,Good Characters,Brown Eyes,Brown Hair,Female Characters,2005
Axeman Bone,Good Characters,Yellow Eyes,Bald,Male Characters,2008
Yuri Watanabe,Good Characters,Black Eyes,Black Hair,Female Characters,2009
Elizabeth Barstow,Good Characters,Blue Eyes,White Hair,Female Characters,1941
Dorrek VII,Bad Characters,Green Eyes,Bald,Male Characters,1963
Frederick Duncan,Good Characters,Blue Eyes,Brown Hair,Male Characters,1963
Jormungand,Bad Characters,Red Eyes,No Hair,Male Characters,1966
William Drake,Neutral Characters,Blue Eyes,Brown Hair,Male Characters,1968
Yandroth,Bad Characters,Grey Eyes,Bald,Male Characters,1968
Michael Marko,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1969
Cornelius van Lunt,Bad Characters,Brown Eyes,Black Hair,Male Characters,1970
Shuma-Gorath,Bad Characters,One Eye,No Hair,Male Characters,1972
Curtis Carr,Good Characters,Brown Eyes,Black Hair,Male Characters,1973
Gabriel,Good Characters,Brown Eyes,Brown Hair,Male Characters,1974
Condor,Bad Characters,Red Eyes,Bald,Male Characters,1976
Griffin Gogol,Good Characters,Brown Eyes,Brown Hair,Male Characters,1976
Nicholas Fury,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1977
Alan Fagan,Bad Characters,Hazel Eyes,Silver Hair,Male Characters,1980
Lorina Dodson,Bad Characters,Blue Eyes,Strawberry Blond Hair,Female Characters,1983
Phastos,Good Characters,Brown Eyes,Bald,Male Characters,1985
Abigail Wright,Neutral Characters,Brown Eyes,Pink Hair,Female Characters,1987
Aaron Chord,Bad Characters,Brown Eyes,Black Hair,Male Characters,1990
Ajax,Good Characters,Blue Eyes,Brown Hair,Male Characters,1991
Paibok,Bad Characters,Green Eyes,No Hair,Male Characters,1991
Jillian Woods,Good Characters,Green Eyes,Black Hair,Female Characters,1993
Clarice Ferguson,Good Characters,Green Eyes,Magenta Hair,Female Characters,1994
Andrea Roarke,Bad Characters,Variable Eyes,Blond Hair,Female Characters,1996
Giacomo Fortunato,Good Characters,Brown Eyes,Black Hair,Male Characters,1996
Pierre Fresson,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1997
Adrienne Frost,Bad Characters,Green Eyes,Blond Hair,Female Characters,1999
Trey Rollins,Good Characters,Brown Eyes,Brown Hair,Male Characters,1999
Mister X,Bad Characters,Blue Eyes,Blond Hair,Male Characters,2001
Kevin Cole,Good Characters,Brown Eyes,Black Hair,Male Characters,2002
Janet Stein,Bad Characters,Brown Eyes,Brown Hair,Female Characters,2003
Leslie Dean,Bad Characters,Blue Eyes,Blond Hair,Female Characters,2003
Kelsey Leigh,Good Characters,Blue Eyes,Blond Hair,Female Characters,2004
Overdrive,Neutral Characters,Black Eyes,Black Hair,Male Characters,2007
Carson Wyche,Good Characters,Hazel Eyes,Brown Hair,Male Characters,2010
Cul Borson,Bad Characters,White Eyes,White Hair,Male Characters,2011
Kade Kilgore,Bad Characters,Black Eyes,Black Hair,Male Characters,2011
Janice Cord,Good Characters,Blue Eyes,Blond Hair,Female Characters,1968
Lani Ubanu,Bad Characters,White Eyes,Blond Hair,Female Characters,1969
Set,Bad Characters,Red Eyes,No Hair,Male Characters,1971
Kondrati Topolov,Neutral Characters,Blue Eyes,Bald,Male Characters,1973
Dansen Macabre,Bad Characters,Blue Eyes,Silver Hair,Female Characters,1980
Jason Strongbow,Good Characters,Brown Eyes,Black Hair,Male Characters,1981
Roberta,Good Characters,Blue Eyes,Blond Hair,Female Characters,1982
Alison Double,Good Characters,Blue Eyes,Blond Hair,Female Characters,1983
Elton Healey,Bad Characters,Green Eyes,Black Hair,Male Characters,1983
Ogun,Bad Characters,Blue Eyes,Black Hair,Male Characters,1984
Autumn Rolfson,Neutral Characters,Blue Eyes,Brown Hair,Female Characters,1987
Skullbuster,Bad Characters,Red Eyes,No Hair,Male Characters,1988
Lenny Ballinger,Good Characters,Black Eyes,Brown Hair,Male Characters,1989
Carol Hines,Bad Characters,Blue Eyes,Auburn Hair,Female Characters,1991
Louise Hastings,Good Characters,Brown Eyes,Black Hair,Female Characters,1992
Candra,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,1993
Skreet,Bad Characters,Pink Eyes,Black Hair,Female Characters,1995
James Hudson,Good Characters,Brown Eyes,Black Hair,Male Characters,1997
White Tiger,Good Characters,Green Eyes,White Hair,Female Characters,1997
Donald Callahan,Bad Characters,White Eyes,No Hair,Male Characters,2000
George W. Bush,Neutral Characters,Blue Eyes,Grey Hair,Male Characters,2001
Sophie Cuckoo,Good Characters,Blue Eyes,Blond Hair,Female Characters,2001
Shola Inkose,Good Characters,Brown Eyes,Bald,Male Characters,2002
Robert Minoru,Bad Characters,Brown Eyes,Brown Hair,Male Characters,2003
Venom,Neutral Characters,Variable Eyes,No Hair,Agender Characters,2003
Maximus Jensen,Bad Characters,Grey Eyes,Grey Hair,Male Characters,2004
Lambda-Zero,Neutral Characters,Multiple Eyes,No Hair,Female Characters,2005
Bride of Nine Spiders,Good Characters,White Eyes,Black Hair,Female Characters,2007
Delphyne Gorgon,Neutral Characters,Yellow Eyes,Green Hair,Female Characters,2008
Timothy Cababa,Good Characters,Hazel Eyes,Black Hair,Male Characters,2010
Aiden,Good Characters,Blue Eyes,Red Hair,Male Characters,2013
Cullen Bloodstone,Neutral Characters,Green Eyes,Blond Hair,Male Characters,2013
Rebecca Ryker,Neutral Characters,Brown Eyes,Black Hair,Female Characters,2013
Wong-Chu,Bad Characters,Brown Eyes,Bald,Male Characters,1963
Lucifer,Bad Characters,Variable Eyes,Variable Hair,Male Characters,1967
Zarek,Bad Characters,Blue Eyes,Bald,Male Characters,1967
Typhon,Bad Characters,Black Eyes,Black Hair,Male Characters,1968
George Smith,Good Characters,Blue Eyes,Black Hair,Male Characters,1969
Lupo,Bad Characters,Yellow Eyeballs,No Hair,Male Characters,1969
Hebe,Good Characters,Blue Eyes,Red Hair,Female Characters,1970
Tongah,Good Characters,Brown Eyes,Black Hair,Male Characters,1970
Zala Dane,Bad Characters,Blue Eyes,Black Hair,Female Characters,1970
Deacon Frost,Bad Characters,Red Eyes,White Hair,Male Characters,1973
Kamo Tharnn,Bad Characters,Black Eyes,Grey Hair,Male Characters,1975
Buford Hollis,Good Characters,Blue Eyes,Black Hair,Male Characters,1977
Tamara Hashioka,Neutral Characters,Black Eyes,Black Hair,Female Characters,1977
Sigyn,Good Characters,Blue Eyes,Blond Hair,Female Characters,1978
Magda Eisenhardt,Good Characters,Blue Eyes,Brown Hair,Female Characters,1979
Mike Farrell,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1979
Calypso Ezili,Bad Characters,Brown Eyes,Black Hair,Female Characters,1980
Lois London,Bad Characters,Blue Eyes,Brown Hair,Female Characters,1982
Lucinda Guthrie,Good Characters,Blue Eyes,Grey Hair,Female Characters,1984
Wallace Jackson,Good Characters,Blue Eyes,Red Hair,Male Characters,1985
Kathleen Dare,Bad Characters,Blue Eyes,Red Hair,Female Characters,1988
Pretty Boy,Bad Characters,Green Eyes,Black Hair,Male Characters,1988
Perun,Good Characters,Brown Eyes,Brown Hair,Male Characters,1989
Roughouse,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1989
Desmond Marrs,Bad Characters,Blue Eyes,Red Hair,Male Characters,1990
Lotus Newmark,Bad Characters,Green Eyes,Black Hair,Female Characters,1990
Walter Rosen,Good Characters,Brown Eyes,Brown Hair,Male Characters,1990
Adam Crown,Good Characters,Brown Eyes,Brown Hair,Male Characters,1991
Donald Clendenon,Neutral Characters,Brown Eyes,Black Hair,Male Characters,1992
Feron,Good Characters,Blue Eyes,Black Hair,Male Characters,1992
Curtis Elkins,Good Characters,Brown Eyes,Black Hair,Male Characters,1993
Donna Diego,Neutral Characters,Green Eyes,Red Hair,Female Characters,1993
Jean-Luc LeBeau,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,1993
Jasmine Destine,Good Characters,Brown Eyes,Black Hair,Female Characters,1994
Paradox,Good Characters,White Eyes,No Hair,Male Characters,1994
Gregory Herd,Neutral Characters,Blue Eyes,Black Hair,Male Characters,1995
Nicholas Fury,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1996
T-Ray,Bad Characters,Green Eyes,Red Hair,Male Characters,1997
Litterbug,Neutral Characters,Red Eyes,No Hair,Male Characters,2002
Gabriel Stacy,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,2004
Aleksander Lukin,Bad Characters,Blue Eyes,Black Hair,Male Characters,2005
Shingen Harada II,Bad Characters,Black Eyes,Black Hair,Male Characters,2012
It the Living Colossus,Neutral Characters,White Eyes,Bald,Male Characters,1961
Bruce Olafsen,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1962
Bor Burison,Good Characters,Blue Eyes,Red Hair,Male Characters,1963
Maha Yogi,Bad Characters,Blue Eyes,Black Hair,Male Characters,1963
Cerberus,Bad Characters,Yellow Eyes,Brown Hair,Male Characters,1966
Ralph Roberts,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1967
Seth,Good Characters,Blue Eyes,Black Hair,Male Characters,1968
Christine Palmer,Good Characters,Blue Eyes,Red Hair,Female Characters,1972
Shou-Lao,Neutral Characters,Red Eyes,No Hair,Male Characters,1974
Veronica Dultry,Bad Characters,Yellow Eyes,Black Hair,Female Characters,1975
Brian DeWolff,Neutral Characters,Blue Eyes,Strawberry Blond Hair,Male Characters,1976
Davan Shakari,Bad Characters,White Eyes,Black Hair,Male Characters,1976
Woodgod,Good Characters,Grey Eyes,Brown Hair,Male Characters,1976
Nezarr,Neutral Characters,No Eyes,No Hair,Male Characters,1977
Randall Darby,Bad Characters,Blue Eyes,Grey Hair,Male Characters,1977
Carmen Pryde,Good Characters,Brown Eyes,Brown Hair,Male Characters,1980
Detective Flint,Good Characters,Brown Eyes,Brown Hair,Male Characters,1981
Fireflyte,Good Characters,Magenta Eyes,Magenta Hair,Female Characters,1981
Alain Racine,Good Characters,Blue Eyes,Brown Hair,Male Characters,1982
Wolf,Good Characters,Brown Eyes,Black Hair,Male Characters,1982
Stanley Carter,Bad Characters,Blue Eyes,Brown Hair,Male Characters,1985
Margaret Murdock,Good Characters,Blue Eyes,Brown Hair,Female Characters,1986
Thomas Maximoff,Good Characters,Blue Eyes,Auburn Hair,Male Characters,1986
William Maximoff,Good Characters,Blue Eyes,Auburn Hair,Male Characters,1986
Ariel,Good Characters,Black Eyes,Pink Hair,Female Characters,1987
Tath Ki,Bad Characters,Green Eyes,No Hair,Male Characters,1987
Luis Alvarez,Bad Characters,Blue Eyes,Black Hair,Male Characters,1988
Anne Marie Hoag,Good Characters,Blue Eyes,Grey Hair,Female Characters,1989
Dinah Soar,Good Characters,Black Eyes,No Hair,Female Characters,1989
Alex Flores,Good Characters,Blue Eyes,Blond Hair,Female Characters,1991
Eisenhower Canty,Good Characters,Brown Eyes,Black Hair,Male Characters,1992
Zachary Moonhunter,Good Characters,Blue Eyes,Black Hair,Male Characters,1992
Adam Neramani,Good Characters,Blue Eyes,Blond Hair,Male Characters,1993
Victor Slaughter,Bad Characters,Red Eyes,White Hair,Male Characters,1993
Jaine Cutter,Neutral Characters,Blue Eyes,Black Hair,Female Characters,1994
Walter Destine,Good Characters,Brown Eyes,Brown Hair,Male Characters,1994
Rina Patel,Good Characters,Blue Eyes,Black Hair,Female Characters,1995
Cassandra Nova Xavier,Bad Characters,Blue Eyes,No Hair,Female Characters,2001
Thialfi,Good Characters,Brown Eyes,Brown Hair,Male Characters,2002
Shortpack,Good Characters,Brown Eyes,Brown Hair,Male Characters,2003
Kyle Jinadu,Good Characters,Brown Eyes,Black Hair,Male Characters,2009
Manuel Enduque,Bad Characters,Brown Eyes,Black Hair,Male Characters,2011
Jack Castle,Good Characters,Hazel Eyes,Blond Hair,Male Characters,1940
Philo Zogolowski,Good Characters,Brown Eyes,Brown Hair,Male Characters,1940
Elton Morrow,Good Characters,Blue Eyes,No Hair,Male Characters,1941
Gregor Shapanka,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1963
Urd,Good Characters,Blue Eyes,Brown Hair,Female Characters,1964
Karl Kaufman,Good Characters,Blue Eyes,Brown Hair,Male Characters,1968
Madeline Bass,Neutral Characters,Brown Eyes,Brown Hair,Female Characters,1968
Edward March,Good Characters,Brown Eyes,Brown Hair,Male Characters,1970
Reed Richards,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,1972
Nebulon,Bad Characters,Red Eyes,No Hair,Male Characters,1974
Terrance Sorenson,Neutral Characters,Brown Eyes,Bald,Male Characters,1974
Garm,Bad Characters,Yellow Eyes,Brown Hair,Female Characters,1976
Tyrak,Bad Characters,Black Eyes,Black Hair,Male Characters,1976
Sleipnir,Good Characters,Black Eyes,Black Hair,Male Characters,1978
Joseph Cartelli,Good Characters,Blue Eyes,Brown Hair,Male Characters,1981
Brian Banner,Bad Characters,Brown Eyes,Brown Hair,Male Characters,1982
Winthrop Roan Jr.,Good Characters,Blue Eyes,Red Hair,Male Characters,1982
Sassafras,Good Characters,Brown Eyes,Brown Hair,Female Characters,1983
Wendy Conrad,Bad Characters,Blue Eyes,Blond Hair,Female Characters,1983
Jesse Black Crow,Good Characters,Brown Eyes,Black Hair,Male Characters,1984
Alfredo Morelli,Bad Characters,Blue Eyes,Blond Hair,Male Characters,1986
Nicholas Powell,Bad Characters,Brown Eyes,Black Hair,Male Characters,1986
Olinka Barankova,Bad Characters,White Eyes,Brown Hair,Female Characters,1988
John Porter,Good Characters,Black Eyes,Black Hair,Male Characters,1989
Robin Chapel,Good Characters,Blue Eyes,Blond Hair,Female Characters,1989
Geatar,Bad Characters,Orange Eyes,No Hair,Male Characters,1990
Keith Kraft,Bad Characters,Brown Eyes,Black Hair,Male Characters,1990
Delphi,Good Characters,Blue Eyes,Blond Hair,Female Characters,1991
Devos,Bad Characters,White Eyes,Blond Hair,Male Characters,1991
Elsie Dee,Good Characters,Blue Eyes,Blond Hair,Female Characters,1991
